Rotated Filter (dFilter = 1.6, K_0 = 0.0001) for fluid with viscosity = 0.0479, density = 866.2
====================
| Row  | Phi_0_ | phi | theta | h   | method     | pressuredrop | runtime | FiltEST_runtime |
| 519  | 0.1    | 45  | 80    | 0.4 | "midpoint" | 5.57943      | 0.34082 | 24.25           |
| 520  | 0.1    | 45  | 80    | 0.1 | "fill"     | 6.24952      | 14.773  | 372.5           |
| 521  | 0.1    | 45  | 80    | 0.1 | "remove"   | 5.18653      | 14.695  | 371.0           |
| 522  | 0.1    | 45  | 80    | 0.1 | "midpoint" | 5.71486      | 14.484  | 366.25          |
| 523  | 0.1    | 45  | 75    | 0.4 | "K_JJ"     | 5.40212      | 0.37915 | 22.656          |
| 524  | 0.1    | 45  | 75    | 0.4 | "K_KC"     | 5.16571      | 0.34326 | 24.234          |
| 525  | 0.1    | 45  | 75    | 0.4 | "K_xi"     | 5.74588      | 0.34741 | 24.313          |
| 526  | 0.1    | 45  | 75    | 0.4 | "fill"     | 7.93493      | 0.37231 | 24.875          |
| 527  | 0.1    | 45  | 75    | 0.4 | "remove"   | 3.56727      | 0.32739 | 22.547          |
| 528  | 0.1    | 45  | 75    | 0.4 | "midpoint" | 5.69828      | 0.33447 | 24.063          |
| 529  | 0.1    | 45  | 75    | 0.1 | "fill"     | 6.15585      | 14.594  | 369.5           |
| 530  | 0.1    | 45  | 75    | 0.1 | "remove"   | 5.07198      | 14.969  | 368.0           |
| 531  | 0.1    | 45  | 75    | 0.1 | "midpoint" | 5.61378      | 15.094  | 387.25          |
| 532  | 0.1    | 45  | 70    | 0.4 | "K_JJ"     | 5.27287      | 0.40234 | 20.063          |
| 533  | 0.1    | 45  | 70    | 0.4 | "K_KC"     | 5.04132      | 0.35864 | 23.453          |
| 534  | 0.1    | 45  | 70    | 0.4 | "K_xi"     | 5.60913      | 0.39429 | 22.094          |
| 535  | 0.1    | 45  | 70    | 0.4 | "fill"     | 7.64885      | 0.35083 | 21.594          |
| 536  | 0.1    | 45  | 70    | 0.4 | "remove"   | 3.64975      | 0.35864 | 24.391          |
| 537  | 0.1    | 45  | 70    | 0.4 | "midpoint" | 5.58484      | 0.39209 | 22.797          |
| 538  | 0.1    | 45  | 70    | 0.1 | "fill"     | 6.01471      | 14.688  | 376.0           |
| 539  | 0.1    | 45  | 70    | 0.1 | "remove"   | 4.94648      | 14.719  | 367.5           |
| 540  | 0.1    | 45  | 70    | 0.1 | "midpoint" | 5.47997      | 14.563  | 358.0           |
| 541  | 0.1    | 45  | 65    | 0.4 | "K_JJ"     | 5.10958      | 0.35864 | 22.344          |
| 542  | 0.1    | 45  | 65    | 0.4 | "K_KC"     | 4.88525      | 0.37134 | 23.438          |
| 543  | 0.1    | 45  | 65    | 0.4 | "K_xi"     | 5.43688      | 0.34155 | 20.078          |
| 544  | 0.1    | 45  | 65    | 0.4 | "fill"     | 7.57697      | 0.37402 | 22.328          |
| 545  | 0.1    | 45  | 65    | 0.4 | "remove"   | 3.13206      | 0.36011 | 23.484          |
| 546  | 0.1    | 45  | 65    | 0.4 | "midpoint" | 5.36073      | 0.36548 | 22.875          |
| 547  | 0.1    | 45  | 65    | 0.1 | "fill"     | 5.84179      | 14.586  | 355.0           |
| 548  | 0.1    | 45  | 65    | 0.1 | "remove"   | 4.77303      | 14.57   | 351.5           |
| 549  | 0.1    | 45  | 65    | 0.1 | "midpoint" | 5.31265      | 14.461  | 361.5           |
| 550  | 0.1    | 45  | 60    | 0.4 | "K_JJ"     | 4.91181      | 0.3938  | 23.547          |
| 551  | 0.1    | 45  | 60    | 0.4 | "K_KC"     | 4.69635      | 0.35645 | 22.594          |
| 552  | 0.1    | 45  | 60    | 0.4 | "K_xi"     | 5.22751      | 0.39404 | 22.563          |
| 553  | 0.1    | 45  | 60    | 0.4 | "fill"     | 7.28682      | 0.35498 | 22.016          |
| 554  | 0.1    | 45  | 60    | 0.4 | "remove"   | 3.10494      | 0.39893 | 21.344          |
| 555  | 0.1    | 45  | 60    | 0.4 | "midpoint" | 5.16598      | 0.36792 | 21.734          |
| 556  | 0.1    | 45  | 60    | 0.1 | "fill"     | 5.62199      | 15.43   | 372.75          |
| 557  | 0.1    | 45  | 60    | 0.1 | "remove"   | 4.57924      | 15.547  | 362.25          |
| 558  | 0.1    | 45  | 60    | 0.1 | "midpoint" | 5.08579      | 14.672  | 356.0           |
| 559  | 0.1    | 45  | 55    | 0.4 | "K_JJ"     | 4.67849      | 0.39502 | 22.859          |
| 560  | 0.1    | 45  | 55    | 0.4 | "K_KC"     | 4.46567      | 0.39063 | 23.516          |
| 561  | 0.1    | 45  | 55    | 0.4 | "K_xi"     | 4.98462      | 0.34863 | 20.313          |
| 562  | 0.1    | 45  | 55    | 0.4 | "fill"     | 7.40958      | 0.39771 | 22.406          |
| 563  | 0.1    | 45  | 55    | 0.4 | "remove"   | 2.77325      | 0.39307 | 24.281          |
| 564  | 0.1    | 45  | 55    | 0.4 | "midpoint" | 4.74222      | 0.38208 | 21.422          |
| 565  | 0.1    | 45  | 55    | 0.1 | "fill"     | 5.32509      | 15.047  | 148.13          |
| 566  | 0.1    | 45  | 55    | 0.1 | "remove"   | 4.37731      | 15.266  | 150.5           |
| 567  | 0.1    | 45  | 55    | 0.1 | "midpoint" | 4.89597      | 15.773  | 155.88          |
| 568  | 0.1    | 45  | 50    | 0.4 | "K_JJ"     | 4.41661      | 0.43262 | 22.922          |
| 569  | 0.1    | 45  | 50    | 0.4 | "K_KC"     | 4.22078      | 0.42871 | 22.688          |
| 570  | 0.1    | 45  | 50    | 0.4 | "K_xi"     | 4.70368      | 0.40479 | 23.875          |
| 571  | 0.1    | 45  | 50    | 0.4 | "fill"     | 6.59073      | 0.40259 | 22.375          |
| 572  | 0.1    | 45  | 50    | 0.4 | "remove"   | 2.86927      | 0.59424 | 24.531          |
| 573  | 0.1    | 45  | 50    | 0.4 | "midpoint" | 4.61445      | 0.38599 | 21.719          |
| 574  | 0.1    | 45  | 50    | 0.1 | "fill"     | 5.05019      | 15.289  | 364.5           |
| 575  | 0.1    | 45  | 50    | 0.1 | "remove"   | 4.09325      | 16.359  | 366.75          |
| 576  | 0.1    | 45  | 50    | 0.1 | "midpoint" | 4.55894      | 16.234  | 382.75          |
| 577  | 0.1    | 45  | 45    | 0.4 | "K_JJ"     | 4.10696      | 0.44409 | 22.469          |
| 578  | 0.1    | 45  | 45    | 0.4 | "K_KC"     | 3.92148      | 0.42627 | 23.094          |
| 579  | 0.1    | 45  | 45    | 0.4 | "K_xi"     | 4.37826      | 0.427   | 23.813          |
| 580  | 0.1    | 45  | 45    | 0.4 | "fill"     | 6.25267      | 0.40503 | 22.25           |
| 581  | 0.1    | 45  | 45    | 0.4 | "remove"   | 2.62597      | 0.40161 | 21.594          |
| 582  | 0.1    | 45  | 45    | 0.4 | "midpoint" | 4.2339       | 0.41211 | 23.75           |
| 583  | 0.1    | 45  | 45    | 0.1 | "fill"     | 4.69064      | 16.156  | 361.0           |
| 584  | 0.1    | 45  | 45    | 0.1 | "remove"   | 3.81048      | 14.969  | 353.5           |
| 585  | 0.1    | 45  | 45    | 0.1 | "midpoint" | 4.25378      | 16.016  | 379.75          |
| 586  | 0.1    | 45  | 40    | 0.4 | "K_JJ"     | 3.78612      | 0.47021 | 23.375          |
| 587  | 0.1    | 45  | 40    | 0.4 | "K_KC"     | 3.61233      | 0.42334 | 22.156          |
| 588  | 0.1    | 45  | 40    | 0.4 | "K_xi"     | 4.03865      | 0.4314  | 21.047          |
| 589  | 0.1    | 45  | 40    | 0.4 | "fill"     | 5.75834      | 0.42456 | 22.844          |
| 590  | 0.1    | 45  | 40    | 0.4 | "remove"   | 2.33879      | 0.45752 | 21.406          |
| 591  | 0.1    | 45  | 40    | 0.4 | "midpoint" | 3.95821      | 0.43335 | 21.953          |
| 592  | 0.1    | 45  | 40    | 0.1 | "fill"     | 4.30571      | 15.633  | 444.5           |
| 593  | 0.1    | 45  | 40    | 0.1 | "remove"   | 3.50475      | 16.063  | 365.0           |
| 594  | 0.1    | 45  | 40    | 0.1 | "midpoint" | 3.90971      | 15.828  | 367.0           |
| 595  | 0.2    | 0   | 90    | 0.4 | "K_JJ"     | 7.67952      | 0.23438 | 9.0625          |
| 596  | 0.2    | 0   | 90    | 0.4 | "K_KC"     | 7.67952      | 0.22717 | 8.4688          |
| 597  | 0.2    | 0   | 90    | 0.4 | "K_xi"     | 7.67952      | 0.23364 | 9.3125          |
| 598  | 0.2    | 0   | 90    | 0.4 | "fill"     | 7.67952      | 0.2229  | 9.3984          |
| 599  | 0.2    | 0   | 90    | 0.4 | "remove"   | 7.67952      | 0.23169 | 9.6563          |
| 600  | 0.2    | 0   | 90    | 0.4 | "midpoint" | 7.67952      | 0.23523 | 8.9609          |
| 601  | 0.2    | 0   | 90    | 0.1 | "fill"     | 7.68588      | 12.742  | 159.88          |
| 602  | 0.2    | 0   | 90    | 0.1 | "remove"   | 7.68588      | 12.578  | 150.38          |
| 603  | 0.2    | 0   | 90    | 0.1 | "midpoint" | 7.68588      | 12.953  | 153.38          |
| 604  | 0.2    | 0   | 85    | 0.4 | "K_JJ"     | 6.9237       | 0.24402 | 8.5703          |
| 605  | 0.2    | 0   | 85    | 0.4 | "K_KC"     | 6.7219       | 0.29565 | 10.313          |
| 606  | 0.2    | 0   | 85    | 0.4 | "K_xi"     | 7.65338      | 0.26025 | 10.008          |
| 607  | 0.2    | 0   | 85    | 0.4 | "fill"     | 9.45938      | 0.29712 | 25.063          |
| 608  | 0.2    | 0   | 85    | 0.4 | "remove"   | 5.66143      | 0.26611 | 25.047          |
| 609  | 0.2    | 0   | 85    | 0.4 | "midpoint" | 7.44731      | 0.30078 | 25.766          |
| 610  | 0.2    | 0   | 85    | 0.1 | "fill"     | 8.11956      | 13.734  | 383.25          |
| 611  | 0.2    | 0   | 85    | 0.1 | "remove"   | 7.10633      | 13.328  | 385.25          |
| 612  | 0.2    | 0   | 85    | 0.1 | "midpoint" | 7.6192       | 13.375  | 378.25          |
| 613  | 0.2    | 0   | 80    | 0.4 | "K_JJ"     | 6.88142      | 0.32178 | 8.9375          |
| 614  | 0.2    | 0   | 80    | 0.4 | "K_KC"     | 6.68429      | 0.26978 | 9.9375          |
| 615  | 0.2    | 0   | 80    | 0.4 | "K_xi"     | 7.58335      | 0.31519 | 10.031          |
| 616  | 0.2    | 0   | 80    | 0.4 | "fill"     | 9.55984      | 0.31372 | 23.875          |
| 617  | 0.2    | 0   | 80    | 0.4 | "remove"   | 5.24581      | 0.271   | 25.547          |
| 618  | 0.2    | 0   | 80    | 0.4 | "midpoint" | 7.42385      | 0.2915  | 23.188          |
| 619  | 0.2    | 0   | 80    | 0.1 | "fill"     | 8.06016      | 13.344  | 367.25          |
| 620  | 0.2    | 0   | 80    | 0.1 | "remove"   | 7.01855      | 13.43   | 391.0           |
| 621  | 0.2    | 0   | 80    | 0.1 | "midpoint" | 7.56306      | 13.719  | 405.5           |
| 622  | 0.2    | 0   | 75    | 0.4 | "K_JJ"     | 6.79755      | 0.32544 | 24.875          |
| 623  | 0.2    | 0   | 75    | 0.4 | "K_KC"     | 6.60977      | 0.3125  | 24.531          |
| 624  | 0.2    | 0   | 75    | 0.4 | "K_xi"     | 7.47511      | 0.28027 | 23.094          |
| 625  | 0.2    | 0   | 75    | 0.4 | "fill"     | 9.40611      | 0.30322 | 23.766          |
| 626  | 0.2    | 0   | 75    | 0.4 | "remove"   | 5.05787      | 0.27295 | 23.609          |
| 627  | 0.2    | 0   | 75    | 0.4 | "midpoint" | 7.44122      | 0.30151 | 22.406          |
| 628  | 0.2    | 0   | 75    | 0.1 | "fill"     | 7.98195      | 13.742  | 373.5           |
| 629  | 0.2    | 0   | 75    | 0.1 | "remove"   | 6.86715      | 13.758  | 378.0           |
| 630  | 0.2    | 0   | 75    | 0.1 | "midpoint" | 7.44917      | 13.93   | 376.5           |
| 631  | 0.2    | 0   | 70    | 0.4 | "K_JJ"     | 6.678        | 0.31494 | 24.266          |
| 632  | 0.2    | 0   | 70    | 0.4 | "K_KC"     | 6.50075      | 0.30957 | 22.297          |
| 633  | 0.2    | 0   | 70    | 0.4 | "K_xi"     | 7.33174      | 0.25586 | 23.063          |
| 634  | 0.2    | 0   | 70    | 0.4 | "fill"     | 9.47827      | 0.2876  | 22.297          |
| 635  | 0.2    | 0   | 70    | 0.4 | "remove"   | 4.80525      | 0.30225 | 24.047          |
| 636  | 0.2    | 0   | 70    | 0.4 | "midpoint" | 7.08666      | 0.28003 | 25.156          |
| 637  | 0.2    | 0   | 70    | 0.1 | "fill"     | 7.86848      | 14.133  | 386.0           |
| 638  | 0.2    | 0   | 70    | 0.1 | "remove"   | 6.67884      | 13.148  | 364.5           |
| 639  | 0.2    | 0   | 70    | 0.1 | "midpoint" | 7.30834      | 14.102  | 376.0           |
| 640  | 0.2    | 0   | 65    | 0.4 | "K_JJ"     | 6.51428      | 0.31055 | 24.156          |
| 641  | 0.2    | 0   | 65    | 0.4 | "K_KC"     | 6.34732      | 0.30054 | 24.484          |
| 642  | 0.2    | 0   | 65    | 0.4 | "K_xi"     | 7.14509      | 0.27954 | 26.328          |
| 643  | 0.2    | 0   | 65    | 0.4 | "fill"     | 9.09804      | 0.3064  | 23.078          |
| 644  | 0.2    | 0   | 65    | 0.4 | "remove"   | 4.76396      | 0.30688 | 22.625          |
| 645  | 0.2    | 0   | 65    | 0.4 | "midpoint" | 7.16279      | 0.30859 | 24.141          |
| 646  | 0.2    | 0   | 65    | 0.1 | "fill"     | 7.65691      | 14.289  | 377.0           |
| 647  | 0.2    | 0   | 65    | 0.1 | "remove"   | 6.50797      | 14.266  | 397.5           |
| 648  | 0.2    | 0   | 65    | 0.1 | "midpoint" | 7.07046      | 14.547  | 383.75          |
| 649  | 0.2    | 0   | 60    | 0.4 | "K_JJ"     | 6.29956      | 0.3291  | 24.438          |
| 650  | 0.2    | 0   | 60    | 0.4 | "K_KC"     | 6.13977      | 0.32593 | 23.547          |
| 651  | 0.2    | 0   | 60    | 0.4 | "K_xi"     | 6.91114      | 0.32227 | 24.25           |
| 652  | 0.2    | 0   | 60    | 0.4 | "fill"     | 9.27892      | 0.28833 | 24.344          |
| 653  | 0.2    | 0   | 60    | 0.4 | "remove"   | 4.55639      | 0.32471 | 23.578          |
| 654  | 0.2    | 0   | 60    | 0.4 | "midpoint" | 6.74708      | 0.31567 | 24.813          |
| 655  | 0.2    | 0   | 60    | 0.1 | "fill"     | 7.39672      | 14.078  | 379.75          |
| 656  | 0.2    | 0   | 60    | 0.1 | "remove"   | 6.26084      | 14.234  | 385.25          |
| 657  | 0.2    | 0   | 60    | 0.1 | "midpoint" | 6.80924      | 14.352  | 383.0           |
| 658  | 0.2    | 0   | 55    | 0.4 | "K_JJ"     | 6.04768      | 0.34082 | 24.188          |
| 659  | 0.2    | 0   | 55    | 0.4 | "K_KC"     | 5.89339      | 0.33398 | 23.578          |
| 660  | 0.2    | 0   | 55    | 0.4 | "K_xi"     | 6.64022      | 0.32373 | 24.328          |
| 661  | 0.2    | 0   | 55    | 0.4 | "fill"     | 8.98424      | 0.31787 | 24.375          |
| 662  | 0.2    | 0   | 55    | 0.4 | "remove"   | 4.19352      | 0.33789 | 23.719          |
| 663  | 0.2    | 0   | 55    | 0.4 | "midpoint" | 6.42013      | 0.33325 | 22.438          |
| 664  | 0.2    | 0   | 55    | 0.1 | "fill"     | 7.11947      | 14.414  | 386.0           |
| 665  | 0.2    | 0   | 55    | 0.1 | "remove"   | 5.96392      | 14.5    | 385.25          |
| 666  | 0.2    | 0   | 55    | 0.1 | "midpoint" | 6.55662      | 14.547  | 372.75          |
| 667  | 0.2    | 0   | 50    | 0.4 | "K_JJ"     | 5.74016      | 0.34692 | 23.188          |
| 668  | 0.2    | 0   | 50    | 0.4 | "K_KC"     | 5.58948      | 0.32861 | 25.047          |
| 669  | 0.2    | 0   | 50    | 0.4 | "K_xi"     | 6.31363      | 0.30664 | 22.438          |
| 670  | 0.2    | 0   | 50    | 0.4 | "fill"     | 8.55649      | 0.33447 | 24.781          |
| 671  | 0.2    | 0   | 50    | 0.4 | "remove"   | 4.06724      | 0.34131 | 23.297          |
| 672  | 0.2    | 0   | 50    | 0.4 | "midpoint" | 6.24803      | 0.33276 | 24.5            |
| 673  | 0.2    | 0   | 50    | 0.1 | "fill"     | 6.73755      | 14.609  | 358.25          |
| 674  | 0.2    | 0   | 50    | 0.1 | "remove"   | 5.61843      | 14.633  | 363.25          |
| 675  | 0.2    | 0   | 50    | 0.1 | "midpoint" | 6.17362      | 14.063  | 377.5           |
| 676  | 0.2    | 0   | 45    | 0.4 | "K_JJ"     | 5.41743      | 0.3335  | 24.797          |
| 677  | 0.2    | 0   | 45    | 0.4 | "K_KC"     | 5.27694      | 0.32617 | 24.188          |
| 678  | 0.2    | 0   | 45    | 0.4 | "K_xi"     | 5.93256      | 0.32764 | 23.375          |
| 679  | 0.2    | 0   | 45    | 0.4 | "fill"     | 7.4193       | 0.32813 | 22.766          |
| 680  | 0.2    | 0   | 45    | 0.4 | "remove"   | 3.06065      | 0.30713 | 23.172          |
| 681  | 0.2    | 0   | 45    | 0.4 | "midpoint" | 5.19049      | 0.30957 | 22.484          |
| 682  | 0.2    | 0   | 45    | 0.1 | "fill"     | 6.47207      | 14.156  | 155.5           |
| 683  | 0.2    | 0   | 45    | 0.1 | "remove"   | 5.37634      | 13.844  | 159.63          |
| 684  | 0.2    | 0   | 45    | 0.1 | "midpoint" | 5.92098      | 14.547  | 156.5           |
| 685  | 0.2    | 0   | 40    | 0.4 | "K_JJ"     | 4.98914      | 0.32129 | 21.234          |
| 686  | 0.2    | 0   | 40    | 0.4 | "K_KC"     | 4.85786      | 0.31982 | 22.0            |
| 687  | 0.2    | 0   | 40    | 0.4 | "K_xi"     | 5.49819      | 0.34009 | 18.094          |
| 688  | 0.2    | 0   | 40    | 0.4 | "fill"     | 7.50881      | 0.40186 | 22.578          |
| 689  | 0.2    | 0   | 40    | 0.4 | "remove"   | 3.51842      | 0.36108 | 24.328          |
| 690  | 0.2    | 0   | 40    | 0.4 | "midpoint" | 5.47226      | 0.37793 | 22.688          |
| 691  | 0.2    | 0   | 40    | 0.1 | "fill"     | 5.82011      | 13.289  | 375.25          |
| 692  | 0.2    | 0   | 40    | 0.1 | "remove"   | 4.85557      | 13.578  | 381.25          |
| 693  | 0.2    | 0   | 40    | 0.1 | "midpoint" | 5.33501      | 15.531  | 390.75          |
| 694  | 0.2    | 10  | 90    | 0.4 | "K_JJ"     | 6.88142      | 0.27319 | 8.75            |
| 695  | 0.2    | 10  | 90    | 0.4 | "K_KC"     | 6.68429      | 0.31421 | 10.039          |
| 696  | 0.2    | 10  | 90    | 0.4 | "K_xi"     | 7.58335      | 0.27905 | 9.3594          |
| 697  | 0.2    | 10  | 90    | 0.4 | "fill"     | 9.55984      | 0.31201 | 23.703          |
| 698  | 0.2    | 10  | 90    | 0.4 | "remove"   | 5.24581      | 0.31592 | 24.063          |
| 699  | 0.2    | 10  | 90    | 0.4 | "midpoint" | 7.42385      | 0.27588 | 25.469          |
| 700  | 0.2    | 10  | 90    | 0.1 | "fill"     | 8.06016      | 13.961  | 398.5           |
| 701  | 0.2    | 10  | 90    | 0.1 | "remove"   | 7.01855      | 13.719  | 377.0           |
| 702  | 0.2    | 10  | 90    | 0.1 | "midpoint" | 7.56306      | 13.352  | 367.75          |
| 703  | 0.2    | 10  | 85    | 0.4 | "K_JJ"     | 6.89572      | 0.30078 | 8.2266          |
| 704  | 0.2    | 10  | 85    | 0.4 | "K_KC"     | 6.70843      | 0.29346 | 24.063          |
| 705  | 0.2    | 10  | 85    | 0.4 | "K_xi"     | 7.55596      | 0.27295 | 9.3828          |
| 706  | 0.2    | 10  | 85    | 0.4 | "fill"     | 9.52525      | 0.2998  | 24.75           |
| 707  | 0.2    | 10  | 85    | 0.4 | "remove"   | 5.14954      | 0.27002 | 22.438          |
| 708  | 0.2    | 10  | 85    | 0.4 | "midpoint" | 7.33698      | 0.29492 | 23.594          |
| 709  | 0.2    | 10  | 85    | 0.1 | "fill"     | 8.06024      | 13.438  | 364.25          |
| 710  | 0.2    | 10  | 85    | 0.1 | "remove"   | 6.96753      | 14.148  | 372.0           |
| 711  | 0.2    | 10  | 85    | 0.1 | "midpoint" | 7.51382      | 13.844  | 377.75          |
| 712  | 0.2    | 10  | 80    | 0.4 | "K_JJ"     | 6.83168      | 0.32715 | 23.953          |
| 713  | 0.2    | 10  | 80    | 0.4 | "K_KC"     | 6.6487       | 0.31885 | 25.188          |
| 714  | 0.2    | 10  | 80    | 0.4 | "K_xi"     | 7.48884      | 0.28101 | 23.281          |
| 715  | 0.2    | 10  | 80    | 0.4 | "fill"     | 9.56002      | 0.29077 | 24.031          |
| 716  | 0.2    | 10  | 80    | 0.4 | "remove"   | 4.99038      | 0.30542 | 26.156          |
| 717  | 0.2    | 10  | 80    | 0.4 | "midpoint" | 7.28901      | 0.27979 | 23.766          |
| 718  | 0.2    | 10  | 80    | 0.1 | "fill"     | 8.01087      | 14.156  | 371.5           |
| 719  | 0.2    | 10  | 80    | 0.1 | "remove"   | 6.87776      | 13.445  | 352.25          |
| 720  | 0.2    | 10  | 80    | 0.1 | "midpoint" | 7.44691      | 13.375  | 362.0           |
| 721  | 0.2    | 10  | 75    | 0.4 | "K_JJ"     | 6.73634      | 0.32324 | 23.625          |
| 722  | 0.2    | 10  | 75    | 0.4 | "K_KC"     | 6.55691      | 0.30688 | 25.047          |
| 723  | 0.2    | 10  | 75    | 0.4 | "K_xi"     | 7.38708      | 0.28027 | 24.109          |
| 724  | 0.2    | 10  | 75    | 0.4 | "fill"     | 9.52444      | 0.31372 | 22.828          |
| 725  | 0.2    | 10  | 75    | 0.4 | "remove"   | 4.85891      | 0.31616 | 23.703          |
| 726  | 0.2    | 10  | 75    | 0.4 | "midpoint" | 7.19142      | 0.26831 | 23.688          |
| 727  | 0.2    | 10  | 75    | 0.1 | "fill"     | 7.91929      | 14.648  | 366.0           |
| 728  | 0.2    | 10  | 75    | 0.1 | "remove"   | 6.75346      | 14.063  | 372.0           |
| 729  | 0.2    | 10  | 75    | 0.1 | "midpoint" | 7.33413      | 13.672  | 366.25          |
| 730  | 0.2    | 10  | 70    | 0.4 | "K_JJ"     | 6.60616      | 0.31812 | 23.078          |
| 731  | 0.2    | 10  | 70    | 0.4 | "K_KC"     | 6.43196      | 0.27881 | 24.344          |
| 732  | 0.2    | 10  | 70    | 0.4 | "K_xi"     | 7.24663      | 0.31543 | 22.297          |
| 733  | 0.2    | 10  | 70    | 0.4 | "fill"     | 9.46828      | 0.29858 | 22.875          |
| 734  | 0.2    | 10  | 70    | 0.4 | "remove"   | 4.70722      | 0.29541 | 24.063          |
| 735  | 0.2    | 10  | 70    | 0.4 | "midpoint" | 7.08151      | 0.26563 | 22.953          |
| 736  | 0.2    | 10  | 70    | 0.1 | "fill"     | 7.77642      | 13.25   | 383.5           |
| 737  | 0.2    | 10  | 70    | 0.1 | "remove"   | 6.58931      | 14.289  | 362.5           |
| 738  | 0.2    | 10  | 70    | 0.1 | "midpoint" | 7.18175      | 14.125  | 349.5           |
| 739  | 0.2    | 10  | 65    | 0.4 | "K_JJ"     | 6.43749      | 0.32178 | 21.125          |
| 740  | 0.2    | 10  | 65    | 0.4 | "K_KC"     | 6.26964      | 0.29834 | 23.922          |
| 741  | 0.2    | 10  | 65    | 0.4 | "K_xi"     | 7.06353      | 0.30664 | 22.156          |
| 742  | 0.2    | 10  | 65    | 0.4 | "fill"     | 9.3083       | 0.30127 | 23.625          |
| 743  | 0.2    | 10  | 65    | 0.4 | "remove"   | 4.55306      | 0.31055 | 22.734          |
| 744  | 0.2    | 10  | 65    | 0.4 | "midpoint" | 6.89974      | 0.26636 | 22.344          |
| 745  | 0.2    | 10  | 65    | 0.1 | "fill"     | 7.58397      | 14.172  | 361.0           |
| 746  | 0.2    | 10  | 65    | 0.1 | "remove"   | 6.38812      | 13.859  | 361.25          |
| 747  | 0.2    | 10  | 65    | 0.1 | "midpoint" | 6.98398      | 14.43   | 359.25          |
| 748  | 0.2    | 10  | 60    | 0.4 | "K_JJ"     | 6.2226       | 0.29272 | 23.219          |
| 749  | 0.2    | 10  | 60    | 0.4 | "K_KC"     | 6.0608       | 0.3147  | 23.547          |
| 750  | 0.2    | 10  | 60    | 0.4 | "K_xi"     | 6.83201      | 0.31958 | 22.938          |
| 751  | 0.2    | 10  | 60    | 0.4 | "fill"     | 9.07572      | 0.3208  | 24.375          |
| 752  | 0.2    | 10  | 60    | 0.4 | "remove"   | 4.35008      | 0.31787 | 23.641          |
| 753  | 0.2    | 10  | 60    | 0.4 | "midpoint" | 6.65376      | 0.31348 | 24.875          |
| 754  | 0.2    | 10  | 60    | 0.1 | "fill"     | 7.33082      | 14.203  | 354.5           |
| 755  | 0.2    | 10  | 60    | 0.1 | "remove"   | 6.14598      | 14.133  | 376.0           |
| 756  | 0.2    | 10  | 60    | 0.1 | "midpoint" | 6.73394      | 14.609  | 375.25          |
| 757  | 0.2    | 10  | 55    | 0.4 | "K_JJ"     | 5.97104      | 0.31958 | 22.313          |
| 758  | 0.2    | 10  | 55    | 0.4 | "K_KC"     | 5.81653      | 0.3374  | 23.375          |
| 759  | 0.2    | 10  | 55    | 0.4 | "K_xi"     | 6.55763      | 0.29639 | 23.5            |
| 760  | 0.2    | 10  | 55    | 0.4 | "fill"     | 8.75775      | 0.3103  | 23.797          |
| 761  | 0.2    | 10  | 55    | 0.4 | "remove"   | 4.10825      | 0.3291  | 24.641          |
| 762  | 0.2    | 10  | 55    | 0.4 | "midpoint" | 6.39114      | 0.33008 | 24.406          |
| 763  | 0.2    | 10  | 55    | 0.1 | "fill"     | 7.01987      | 14.758  | 364.75          |
| 764  | 0.2    | 10  | 55    | 0.1 | "remove"   | 5.86184      | 13.859  | 366.5           |
| 765  | 0.2    | 10  | 55    | 0.1 | "midpoint" | 6.44098      | 13.344  | 379.5           |
| 766  | 0.2    | 10  | 50    | 0.4 | "K_JJ"     | 5.6685       | 0.34912 | 24.031          |
| 767  | 0.2    | 10  | 50    | 0.4 | "K_KC"     | 5.52121      | 0.34155 | 23.484          |
| 768  | 0.2    | 10  | 50    | 0.4 | "K_xi"     | 6.2307       | 0.31445 | 22.063          |
| 769  | 0.2    | 10  | 50    | 0.4 | "fill"     | 8.39148      | 0.36621 | 23.984          |
| 770  | 0.2    | 10  | 50    | 0.4 | "remove"   | 3.88114      | 0.3335  | 22.984          |
| 771  | 0.2    | 10  | 50    | 0.4 | "midpoint" | 6.08291      | 0.3269  | 23.984          |
| 772  | 0.2    | 10  | 50    | 0.1 | "fill"     | 6.6594       | 14.57   | 375.5           |
| 773  | 0.2    | 10  | 50    | 0.1 | "remove"   | 5.54338      | 14.945  | 383.25          |
| 774  | 0.2    | 10  | 50    | 0.1 | "midpoint" | 6.10065      | 14.227  | 374.25          |
| 775  | 0.2    | 10  | 45    | 0.4 | "K_JJ"     | 5.31582      | 0.32788 | 23.469          |
| 776  | 0.2    | 10  | 45    | 0.4 | "K_KC"     | 5.1757       | 0.37256 | 23.594          |
| 777  | 0.2    | 10  | 45    | 0.4 | "K_xi"     | 5.85228      | 0.33276 | 23.547          |
| 778  | 0.2    | 10  | 45    | 0.4 | "fill"     | 7.99271      | 0.34082 | 20.984          |
| 779  | 0.2    | 10  | 45    | 0.4 | "remove"   | 3.69731      | 0.3313  | 22.906          |
| 780  | 0.2    | 10  | 45    | 0.4 | "midpoint" | 5.79491      | 0.33813 | 22.203          |
| 781  | 0.2    | 10  | 45    | 0.1 | "fill"     | 6.24461      | 14.523  | 361.5           |
