Rotated Filter (dFilter = 1.6, K_0 = 0.0001) for fluid with viscosity = 0.0479, density = 866.2
====================
| Row  | Phi_0_ | phi | theta | h   | method     | pressuredrop | runtime | FiltEST_runtime |
| 125  | 0.1    | 10  | 80    | 0.1 | "remove"   | 6.87776      | 13.086  | 384.5           |
| 126  | 0.1    | 10  | 80    | 0.1 | "midpoint" | 7.44691      | 13.914  | 360.5           |
| 127  | 0.1    | 10  | 75    | 0.4 | "K_JJ"     | 6.9628       | 0.31055 | 23.063          |
| 128  | 0.1    | 10  | 75    | 0.4 | "K_KC"     | 6.66049      | 0.33691 | 24.594          |
| 129  | 0.1    | 10  | 75    | 0.4 | "K_xi"     | 7.38708      | 0.50244 | 25.547          |
| 130  | 0.1    | 10  | 75    | 0.4 | "fill"     | 9.52444      | 0.31421 | 23.938          |
| 131  | 0.1    | 10  | 75    | 0.4 | "remove"   | 4.85891      | 0.34448 | 24.844          |
| 132  | 0.1    | 10  | 75    | 0.4 | "midpoint" | 7.19142      | 0.26807 | 22.016          |
| 133  | 0.1    | 10  | 75    | 0.1 | "fill"     | 7.91929      | 13.984  | 355.75          |
| 134  | 0.1    | 10  | 75    | 0.1 | "remove"   | 6.75346      | 13.305  | 357.0           |
| 135  | 0.1    | 10  | 75    | 0.1 | "midpoint" | 7.33413      | 14.023  | 370.0           |
| 136  | 0.1    | 10  | 70    | 0.4 | "K_JJ"     | 6.82835      | 0.30884 | 25.0            |
| 137  | 0.1    | 10  | 70    | 0.4 | "K_KC"     | 6.53317      | 0.26001 | 24.594          |
| 138  | 0.1    | 10  | 70    | 0.4 | "K_xi"     | 7.24663      | 0.31177 | 24.203          |
| 139  | 0.1    | 10  | 70    | 0.4 | "fill"     | 9.46828      | 0.30542 | 22.063          |
| 140  | 0.1    | 10  | 70    | 0.4 | "remove"   | 4.70722      | 0.30469 | 24.594          |
| 141  | 0.1    | 10  | 70    | 0.4 | "midpoint" | 7.08151      | 0.2832  | 23.875          |
| 142  | 0.1    | 10  | 70    | 0.1 | "fill"     | 7.77642      | 14.336  | 360.75          |
| 143  | 0.1    | 10  | 70    | 0.1 | "remove"   | 6.58931      | 13.43   | 351.75          |
| 144  | 0.1    | 10  | 70    | 0.1 | "midpoint" | 7.18175      | 12.789  | 344.75          |
| 145  | 0.1    | 10  | 65    | 0.4 | "K_JJ"     | 6.65414      | 0.33789 | 23.656          |
| 146  | 0.1    | 10  | 65    | 0.4 | "K_KC"     | 6.36793      | 0.31396 | 23.359          |
| 147  | 0.1    | 10  | 65    | 0.4 | "K_xi"     | 7.06353      | 0.30933 | 23.828          |
| 148  | 0.1    | 10  | 65    | 0.4 | "fill"     | 9.3083       | 0.30396 | 23.813          |
| 149  | 0.1    | 10  | 65    | 0.4 | "remove"   | 4.55306      | 0.29858 | 24.266          |
| 150  | 0.1    | 10  | 65    | 0.4 | "midpoint" | 6.89974      | 0.29004 | 23.047          |
| 151  | 0.1    | 10  | 65    | 0.1 | "fill"     | 7.58397      | 13.602  | 369.5           |
| 152  | 0.1    | 10  | 65    | 0.1 | "remove"   | 6.38812      | 14.008  | 376.5           |
| 153  | 0.1    | 10  | 65    | 0.1 | "midpoint" | 6.98398      | 14.211  | 353.5           |
| 154  | 0.1    | 10  | 60    | 0.4 | "K_JJ"     | 6.43324      | 0.27881 | 26.469          |
| 155  | 0.1    | 10  | 60    | 0.4 | "K_KC"     | 6.15611      | 0.33496 | 23.063          |
| 156  | 0.1    | 10  | 60    | 0.4 | "K_xi"     | 6.83201      | 0.31006 | 23.125          |
| 157  | 0.1    | 10  | 60    | 0.4 | "fill"     | 9.07572      | 0.33008 | 24.875          |
| 158  | 0.1    | 10  | 60    | 0.4 | "remove"   | 4.35008      | 0.53516 | 24.563          |
| 159  | 0.1    | 10  | 60    | 0.4 | "midpoint" | 6.65376      | 0.31348 | 24.063          |
| 160  | 0.1    | 10  | 60    | 0.1 | "fill"     | 7.33082      | 14.039  | 362.0           |
| 161  | 0.1    | 10  | 60    | 0.1 | "remove"   | 6.14598      | 14.367  | 358.5           |
| 162  | 0.1    | 10  | 60    | 0.1 | "midpoint" | 6.73394      | 13.688  | 364.5           |
| 163  | 0.1    | 10  | 55    | 0.4 | "K_JJ"     | 6.17355      | 0.34106 | 23.469          |
| 164  | 0.1    | 10  | 55    | 0.4 | "K_KC"     | 5.90796      | 0.3457  | 23.438          |
| 165  | 0.1    | 10  | 55    | 0.4 | "K_xi"     | 6.55763      | 0.32739 | 23.078          |
| 166  | 0.1    | 10  | 55    | 0.4 | "fill"     | 8.75775      | 0.32056 | 22.578          |
| 167  | 0.1    | 10  | 55    | 0.4 | "remove"   | 4.10825      | 0.3186  | 24.875          |
| 168  | 0.1    | 10  | 55    | 0.4 | "midpoint" | 6.39114      | 0.32568 | 22.094          |
| 169  | 0.1    | 10  | 55    | 0.1 | "fill"     | 7.01987      | 14.68   | 372.25          |
| 170  | 0.1    | 10  | 55    | 0.1 | "remove"   | 5.86184      | 14.383  | 367.5           |
| 171  | 0.1    | 10  | 55    | 0.1 | "midpoint" | 6.44098      | 14.039  | 358.25          |
| 172  | 0.1    | 10  | 50    | 0.4 | "K_JJ"     | 5.86272      | 0.33545 | 23.625          |
| 173  | 0.1    | 10  | 50    | 0.4 | "K_KC"     | 5.60897      | 0.33105 | 24.281          |
| 174  | 0.1    | 10  | 50    | 0.4 | "K_xi"     | 6.2307       | 0.35425 | 22.703          |
| 175  | 0.1    | 10  | 50    | 0.4 | "fill"     | 8.39148      | 0.36816 | 23.203          |
| 176  | 0.1    | 10  | 50    | 0.4 | "remove"   | 3.88114      | 0.3374  | 22.922          |
| 177  | 0.1    | 10  | 50    | 0.4 | "midpoint" | 6.08291      | 0.34741 | 22.234          |
| 178  | 0.1    | 10  | 50    | 0.1 | "fill"     | 6.6594       | 14.773  | 356.5           |
| 179  | 0.1    | 10  | 50    | 0.1 | "remove"   | 5.54338      | 14.188  | 340.0           |
| 180  | 0.1    | 10  | 50    | 0.1 | "midpoint" | 6.10065      | 13.57   | 360.0           |
| 181  | 0.1    | 10  | 45    | 0.4 | "K_JJ"     | 5.50275      | 0.3418  | 21.656          |
| 182  | 0.1    | 10  | 45    | 0.4 | "K_KC"     | 5.26103      | 0.37158 | 23.875          |
| 183  | 0.1    | 10  | 45    | 0.4 | "K_xi"     | 5.85228      | 0.33105 | 22.516          |
| 184  | 0.1    | 10  | 45    | 0.4 | "fill"     | 7.99271      | 0.32764 | 22.031          |
| 185  | 0.1    | 10  | 45    | 0.4 | "remove"   | 3.69731      | 0.33228 | 21.063          |
| 186  | 0.1    | 10  | 45    | 0.4 | "midpoint" | 5.79491      | 0.3313  | 22.813          |
| 187  | 0.1    | 10  | 45    | 0.1 | "fill"     | 6.24461      | 14.289  | 345.75          |
| 188  | 0.1    | 10  | 45    | 0.1 | "remove"   | 5.18691      | 15.008  | 367.75          |
| 189  | 0.1    | 10  | 45    | 0.1 | "midpoint" | 5.71278      | 14.727  | 359.0           |
| 190  | 0.1    | 10  | 40    | 0.4 | "K_JJ"     | 5.0894       | 0.39209 | 20.969          |
